"date","year","rep","store","paper","paper.type","unit.price","units.sold","total.sale"
"4640",2013-02-02,2013,"Mohit","Davenport","watercolor","pad",12.15,1,12.15
"5270",2013-02-02,2013,"Barakat","Portland","watercolor","block",19.34,1,19.34
"6545",2013-02-02,2013,"Yue","Dublin","drawing","pads",10.26,2,20.52
"8317",2013-02-02,2013,"Arinjay","Portland","drawing","pads",10.26,1,10.26
"9214",2013-02-02,2013,"Mohit","Davenport","drawing","pads",10.26,1,10.26
"9569",2013-02-02,2013,"Yunzhu","Syracuse","drawing","pads",10.26,1,10.26
"1013",2013-02-03,2013,"Arinjay","Portland","drawing","pads",10.26,1,10.26
"2922",2013-02-03,2013,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"3405",2013-02-03,2013,"Mohit","Davenport","watercolor","block",19.34,2,38.68
"4287",2013-02-03,2013,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"4545",2013-02-03,2013,"Barakat","Portland","watercolor","pad",12.15,3,36.45
"5712",2013-02-03,2013,"Mohit","Davenport","drawing","roll",20.99,1,20.99
"6985",2013-02-03,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"8381",2013-02-03,2013,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"8526",2013-02-03,2013,"Arinjay","Portland","watercolor","sheet",0.77,5,3.85
"8860",2013-02-03,2013,"Mohit","Davenport","drawing","journal",24.94,1,24.94
"9702",2013-02-03,2013,"Yue","Dublin","drawing","pads",10.26,1,10.26
"761",2013-02-04,2013,"Arinjay","Portland","watercolor","block",19.34,1,19.34
"822",2013-02-04,2013,"Yunzhu","Syracuse","drawing","pads",10.26,2,20.52
"1256",2013-02-04,2013,"Qiaoli","Portland","watercolor","pad",12.15,2,24.3
"3471",2013-02-04,2013,"Yunzhu","Syracuse","drawing","pads",10.26,2,20.52
"5463",2013-02-04,2013,"Arinjay","Portland","drawing","pads",10.26,2,20.52
"5874",2013-02-04,2013,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"8647",2013-02-04,2013,"Ran","Dublin","drawing","journal",24.94,1,24.94
"1740",2013-02-05,2013,"Patrick","Syracuse","drawing","pads",10.26,2,20.52
"5110",2013-02-05,2013,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"7275",2013-02-05,2013,"Mohit","Davenport","drawing","journal",24.94,1,24.94
"542",2013-02-06,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"567",2013-02-06,2013,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"3446",2013-02-06,2013,"Ruisi","Dublin","drawing","pads",10.26,2,20.52
"5516",2013-02-06,2013,"Thomas","Davenport","watercolor","pad",12.15,1,12.15
"6626",2013-02-06,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"9224",2013-02-06,2013,"Yue","Dublin","drawing","pads",10.26,3,30.78
"1649",2013-02-07,2013,"Ran","Dublin","drawing","journal",24.94,1,24.94
"4437",2013-02-07,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"4768",2013-02-07,2013,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"5911",2013-02-07,2013,"Ran","Dublin","watercolor","sheet",0.77,2,1.54
"6575",2013-02-07,2013,"Yue","Dublin","watercolor","pad",12.15,2,24.3
"7245",2013-02-07,2013,"Patrick","Syracuse","watercolor","roll",97.99,1,97.99
"8143",2013-02-07,2013,"Ran","Dublin","watercolor","block",19.34,1,19.34
"9636",2013-02-07,2013,"Barakat","Portland","watercolor","sheet",0.77,6,4.62
"348",2013-02-08,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"3333",2013-02-08,2013,"Ruisi","Dublin","drawing","journal",24.94,1,24.94
"3883",2013-02-08,2013,"Arinjay","Portland","drawing","roll",20.99,2,41.98
"4482",2013-02-08,2013,"Yue","Dublin","drawing","pads",10.26,2,20.52
"5790",2013-02-08,2013,"Ruisi","Dublin","drawing","pads",10.26,1,10.26
"159",2013-02-09,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"362",2013-02-09,2013,"Thomas","Davenport","watercolor","block",19.34,2,38.68
"1447",2013-02-09,2013,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"2421",2013-02-09,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"2703",2013-02-09,2013,"Ruisi","Dublin","drawing","journal",24.94,1,24.94
"4847",2013-02-09,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"6855",2013-02-09,2013,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"7726",2013-02-09,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"8254",2013-02-09,2013,"Barakat","Portland","watercolor","block",19.34,1,19.34
"8669",2013-02-09,2013,"Ruisi","Dublin","drawing","pads",10.26,1,10.26
"52",2013-02-10,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"231",2013-02-10,2013,"Barakat","Portland","watercolor","sheet",0.77,8,6.16
"3798",2013-02-10,2013,"Arijit","Syracuse","drawing","pads",10.26,2,20.52
"5178",2013-02-10,2013,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"5828",2013-02-10,2013,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"7800",2013-02-10,2013,"Arinjay","Portland","watercolor","pad",12.15,3,36.45
"8859",2013-02-10,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"458",2013-02-11,2013,"Aman","Portland","drawing","roll",20.99,1,20.99
"5230",2013-02-11,2013,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"7704",2013-02-11,2013,"Mohit","Davenport","drawing","pads",10.26,1,10.26
"7881",2013-02-11,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"5310",2013-02-12,2013,"Yunzhu","Syracuse","watercolor","roll",97.99,1,97.99
"145",2013-02-13,2013,"Barakat","Portland","watercolor","roll",97.99,1,97.99
"962",2013-02-13,2013,"Ran","Dublin","watercolor","block",19.34,1,19.34
"2979",2013-02-13,2013,"Arijit","Syracuse","drawing","sheet",0.36,14,5.04
"3504",2013-02-13,2013,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"7390",2013-02-13,2013,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"8194",2013-02-13,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,3,2.31
"1895",2013-02-14,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"1914",2013-02-14,2013,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"2533",2013-02-14,2013,"Aman","Portland","drawing","pads",10.26,3,30.78
"3785",2013-02-14,2013,"Patrick","Syracuse","drawing","pads",10.26,1,10.26
"5757",2013-02-14,2013,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"9863",2013-02-14,2013,"Aman","Portland","watercolor","block",19.34,1,19.34
"4038",2013-02-15,2013,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"9913",2013-02-15,2013,"Arinjay","Portland","watercolor","sheet",0.77,7,5.39
"124",2013-02-16,2013,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"422",2013-02-16,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"3399",2013-02-16,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"4841",2013-02-16,2013,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"5135",2013-02-16,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"6110",2013-02-16,2013,"Aman","Portland","watercolor","pad",12.15,3,36.45
"6376",2013-02-16,2013,"Ran","Dublin","drawing","pads",10.26,3,30.78
"6431",2013-02-16,2013,"Barakat","Portland","drawing","journal",24.94,1,24.94
"6676",2013-02-16,2013,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"6747",2013-02-16,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"7137",2013-02-16,2013,"Mohit","Davenport","drawing","journal",24.94,2,49.88
"7491",2013-02-16,2013,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"7770",2013-02-16,2013,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"8109",2013-02-16,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,2,1.54
"1308",2013-02-17,2013,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"1916",2013-02-17,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"2973",2013-02-17,2013,"Aman","Portland","watercolor","block",19.34,1,19.34
"3256",2013-02-17,2013,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"5155",2013-02-17,2013,"Qiaoli","Portland","drawing","pads",10.26,3,30.78
"5352",2013-02-17,2013,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"5879",2013-02-17,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"6345",2013-02-17,2013,"Mohit","Davenport","drawing","roll",20.99,1,20.99
"7963",2013-02-17,2013,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"8129",2013-02-17,2013,"Patrick","Syracuse","drawing","pads",10.26,2,20.52
"8247",2013-02-17,2013,"Thomas","Davenport","watercolor","sheet",0.77,7,5.39
"8313",2013-02-17,2013,"Ruisi","Dublin","drawing","sheet",0.36,13,4.68
"9281",2013-02-17,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"475",2013-02-18,2013,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"1313",2013-02-18,2013,"Qiaoli","Portland","watercolor","sheet",0.77,11,8.47
"3348",2013-02-18,2013,"Ran","Dublin","watercolor","sheet",0.77,5,3.85
"4135",2013-02-18,2013,"Arinjay","Portland","drawing","journal",24.94,1,24.94
"6964",2013-02-18,2013,"Yue","Dublin","watercolor","roll",97.99,1,97.99
"9614",2013-02-18,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"777",2013-02-19,2013,"Yunzhu","Syracuse","drawing","pads",10.26,1,10.26
"1825",2013-02-19,2013,"Arijit","Syracuse","watercolor","pad",12.15,2,24.3
"4014",2013-02-19,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,5,3.85
"4795",2013-02-19,2013,"Aman","Portland","drawing","roll",20.99,1,20.99
"1561",2013-02-20,2013,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"2358",2013-02-20,2013,"Aman","Portland","watercolor","roll",97.99,1,97.99
"2934",2013-02-20,2013,"Qiaoli","Portland","watercolor","block",19.34,2,38.68
"3318",2013-02-20,2013,"Ruisi","Dublin","drawing","pads",10.26,1,10.26
"4898",2013-02-20,2013,"Thomas","Davenport","watercolor","pad",12.15,3,36.45
"5078",2013-02-20,2013,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"6196",2013-02-20,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"6535",2013-02-20,2013,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"8983",2013-02-20,2013,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"391",2013-02-21,2013,"Yue","Dublin","watercolor","sheet",0.77,6,4.62
"1215",2013-02-21,2013,"Mohit","Davenport","watercolor","block",19.34,1,19.34
"3529",2013-02-21,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"3712",2013-02-21,2013,"Qiaoli","Portland","watercolor","block",19.34,2,38.68
"5846",2013-02-21,2013,"Aman","Portland","watercolor","roll",97.99,1,97.99
"6762",2013-02-21,2013,"Yue","Dublin","drawing","pads",10.26,1,10.26
"6879",2013-02-21,2013,"Qiaoli","Portland","watercolor","pad",12.15,2,24.3
"8362",2013-02-21,2013,"Thomas","Davenport","watercolor","pad",12.15,1,12.15
"2056",2013-02-22,2013,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"2635",2013-02-22,2013,"Thomas","Davenport","watercolor","pad",12.15,1,12.15
"3234",2013-02-22,2013,"Mohit","Davenport","watercolor","pad",12.15,1,12.15
"3559",2013-02-22,2013,"Patrick","Syracuse","watercolor","sheet",0.77,5,3.85
"9831",2013-02-22,2013,"Qiaoli","Portland","watercolor","sheet",0.77,4,3.08
"1421",2013-02-23,2013,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"1678",2013-02-23,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"2774",2013-02-23,2013,"Ruisi","Dublin","watercolor","pad",12.15,2,24.3
"3367",2013-02-23,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"3706",2013-02-23,2013,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"3771",2013-02-23,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"4335",2013-02-23,2013,"Mohit","Davenport","drawing","pads",10.26,2,20.52
"4859",2013-02-23,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"5263",2013-02-23,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"5417",2013-02-23,2013,"Thomas","Davenport","watercolor","pad",12.15,1,12.15
"5517",2013-02-23,2013,"Aman","Portland","drawing","pads",10.26,2,20.52
"6267",2013-02-23,2013,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"6818",2013-02-23,2013,"Qiaoli","Portland","drawing","roll",20.99,1,20.99
"7249",2013-02-23,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"8430",2013-02-23,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"823",2013-02-24,2013,"Qiaoli","Portland","watercolor","pad",12.15,3,36.45
"1087",2013-02-24,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"1110",2013-02-24,2013,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"1933",2013-02-24,2013,"Mohit","Davenport","watercolor","block",19.34,1,19.34
"2181",2013-02-24,2013,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"2854",2013-02-24,2013,"Aman","Portland","drawing","pads",10.26,2,20.52
"3373",2013-02-24,2013,"Thomas","Davenport","watercolor","sheet",0.77,4,3.08
"3396",2013-02-24,2013,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"4097",2013-02-24,2013,"Aman","Portland","drawing","pads",10.26,1,10.26
"4400",2013-02-24,2013,"Thomas","Davenport","watercolor","pad",12.15,1,12.15
"4538",2013-02-24,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,5,3.85
"5317",2013-02-24,2013,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"6946",2013-02-24,2013,"Barakat","Portland","watercolor","sheet",0.77,4,3.08
"6963",2013-02-24,2013,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"7201",2013-02-24,2013,"Patrick","Syracuse","drawing","roll",20.99,1,20.99
"7882",2013-02-24,2013,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"3008",2013-02-25,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"6073",2013-02-25,2013,"Qiaoli","Portland","drawing","journal",24.94,2,49.88
"6795",2013-02-25,2013,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"4001",2013-02-26,2013,"Thomas","Davenport","watercolor","pad",12.15,2,24.3
"4396",2013-02-26,2013,"Thomas","Davenport","watercolor","pad",12.15,2,24.3
"6534",2013-02-26,2013,"Ran","Dublin","watercolor","block",19.34,1,19.34
"416",2013-02-27,2013,"Arijit","Syracuse","watercolor","sheet",0.77,10,7.7
"563",2013-02-27,2013,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"1067",2013-02-27,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,6,4.62
"1328",2013-02-27,2013,"Patrick","Syracuse","drawing","roll",20.99,1,20.99
"1546",2013-02-27,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"8740",2013-02-27,2013,"Thomas","Davenport","watercolor","pad",12.15,2,24.3
"1099",2013-02-28,2013,"Ran","Dublin","drawing","journal",24.94,1,24.94
"1583",2013-02-28,2013,"Ran","Dublin","watercolor","sheet",0.77,7,5.39
"2823",2013-02-28,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"3426",2013-02-28,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,2,24.3
"4416",2013-02-28,2013,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"6085",2013-02-28,2013,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"6272",2013-02-28,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"7326",2013-02-28,2013,"Barakat","Portland","drawing","journal",24.94,3,74.82
"8993",2013-02-28,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"9205",2013-02-28,2013,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"711",2013-03-01,2013,"Mohit","Davenport","drawing","roll",20.99,1,20.99
"6214",2013-03-01,2013,"Ruisi","Dublin","watercolor","sheet",0.77,6,4.62
"9269",2013-03-01,2013,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"9983",2013-03-01,2013,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"203",2013-03-02,2013,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"696",2013-03-02,2013,"Ran","Dublin","watercolor","pad",12.15,3,36.45
"786",2013-03-02,2013,"Ruisi","Dublin","watercolor","pad",12.15,2,24.3
"1661",2013-03-02,2013,"Qiaoli","Portland","drawing","roll",20.99,1,20.99
"4340",2013-03-02,2013,"Barakat","Portland","drawing","journal",24.94,2,49.88
"4452",2013-03-02,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"4600",2013-03-02,2013,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"6061",2013-03-02,2013,"Ruisi","Dublin","drawing","journal",24.94,1,24.94
"6282",2013-03-02,2013,"Barakat","Portland","drawing","journal",24.94,1,24.94
"7134",2013-03-02,2013,"Arinjay","Portland","watercolor","sheet",0.77,6,4.62
"8297",2013-03-02,2013,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"955",2013-03-03,2013,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"1896",2013-03-03,2013,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"2144",2013-03-03,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"2296",2013-03-03,2013,"Aman","Portland","drawing","pads",10.26,1,10.26
"2405",2013-03-03,2013,"Thomas","Davenport","drawing","roll",20.99,1,20.99
"5315",2013-03-03,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"6326",2013-03-03,2013,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"8172",2013-03-03,2013,"Barakat","Portland","watercolor","block",19.34,1,19.34
"5041",2013-03-04,2013,"Ruisi","Dublin","watercolor","block",19.34,2,38.68
"6736",2013-03-04,2013,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"9546",2013-03-04,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"674",2013-03-05,2013,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"4777",2013-03-05,2013,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"5960",2013-03-05,2013,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"7361",2013-03-05,2013,"Barakat","Portland","drawing","pads",10.26,2,20.52
"7500",2013-03-05,2013,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"7886",2013-03-05,2013,"Yue","Dublin","drawing","pads",10.26,2,20.52
"9697",2013-03-05,2013,"Patrick","Syracuse","drawing","journal",24.94,2,49.88
"327",2013-03-06,2013,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"1885",2013-03-06,2013,"Arinjay","Portland","watercolor","block",19.34,2,38.68
"1954",2013-03-06,2013,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"3806",2013-03-06,2013,"Mohit","Davenport","drawing","pads",10.26,1,10.26
"5150",2013-03-06,2013,"Arijit","Syracuse","drawing","pads",10.26,2,20.52
"8806",2013-03-06,2013,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"368",2013-03-07,2013,"Ruisi","Dublin","drawing","roll",20.99,1,20.99
"1575",2013-03-07,2013,"Qiaoli","Portland","watercolor","sheet",0.77,8,6.16
"3003",2013-03-07,2013,"Barakat","Portland","drawing","pads",10.26,1,10.26
"5388",2013-03-07,2013,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"5677",2013-03-07,2013,"Aman","Portland","watercolor","block",19.34,1,19.34
"6587",2013-03-07,2013,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"6970",2013-03-07,2013,"Ruisi","Dublin","watercolor","pad",12.15,2,24.3
"8283",2013-03-07,2013,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"2816",2013-03-08,2013,"Ran","Dublin","watercolor","block",19.34,2,38.68
"3300",2013-03-08,2013,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"667",2013-03-09,2013,"Barakat","Portland","drawing","journal",24.94,1,24.94
"783",2013-03-09,2013,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"1260",2013-03-09,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"2019",2013-03-09,2013,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"2633",2013-03-09,2013,"Ran","Dublin","drawing","journal",24.94,1,24.94
"3030",2013-03-09,2013,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"3553",2013-03-09,2013,"Ruisi","Dublin","watercolor","sheet",0.77,5,3.85
"4747",2013-03-09,2013,"Yue","Dublin","watercolor","pad",12.15,2,24.3
"5264",2013-03-09,2013,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"5471",2013-03-09,2013,"Aman","Portland","drawing","pads",10.26,2,20.52
"6358",2013-03-09,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"8158",2013-03-09,2013,"Patrick","Syracuse","watercolor","pad",12.15,2,24.3
"8776",2013-03-09,2013,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"8932",2013-03-09,2013,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"9287",2013-03-09,2013,"Ran","Dublin","watercolor","pad",12.15,3,36.45
"1473",2013-03-10,2013,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"2111",2013-03-10,2013,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"2669",2013-03-10,2013,"Patrick","Syracuse","watercolor","sheet",0.77,7,5.39
"4469",2013-03-10,2013,"Arinjay","Portland","watercolor","sheet",0.77,9,6.93
"5904",2013-03-10,2013,"Barakat","Portland","drawing","journal",24.94,1,24.94
"6188",2013-03-10,2013,"Yunzhu","Syracuse","watercolor","roll",97.99,1,97.99
"6822",2013-03-10,2013,"Arinjay","Portland","drawing","pads",10.26,1,10.26
"8841",2013-03-10,2013,"Qiaoli","Portland","watercolor","sheet",0.77,11,8.47
"9617",2013-03-10,2013,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"4393",2013-03-11,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"8506",2013-03-11,2013,"Ran","Dublin","watercolor","block",19.34,1,19.34
"8747",2013-03-11,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"333",2013-03-12,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,9,6.93
"3084",2013-03-12,2013,"Qiaoli","Portland","drawing","pads",10.26,1,10.26
"3909",2013-03-12,2013,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"5337",2013-03-12,2013,"Yunzhu","Syracuse","drawing","pads",10.26,3,30.78
"5365",2013-03-12,2013,"Qiaoli","Portland","watercolor","pad",12.15,2,24.3
"5429",2013-03-12,2013,"Mohit","Davenport","watercolor","pad",12.15,2,24.3
"6119",2013-03-12,2013,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"6565",2013-03-12,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"7574",2013-03-12,2013,"Yue","Dublin","watercolor","sheet",0.77,11,8.47
"8383",2013-03-12,2013,"Ran","Dublin","watercolor","block",19.34,1,19.34
"9138",2013-03-12,2013,"Patrick","Syracuse","drawing","roll",20.99,1,20.99
"709",2013-03-13,2013,"Yunzhu","Syracuse","watercolor","sheet",0.77,7,5.39
"7452",2013-03-13,2013,"Arijit","Syracuse","watercolor","sheet",0.77,7,5.39
"8971",2013-03-13,2013,"Yunzhu","Syracuse","watercolor","pad",12.15,2,24.3
"9865",2013-03-13,2013,"Barakat","Portland","watercolor","block",19.34,1,19.34
"1721",2013-03-14,2013,"Arinjay","Portland","watercolor","roll",97.99,1,97.99
"7470",2013-03-14,2013,"Barakat","Portland","drawing","journal",24.94,1,24.94
"8789",2013-03-14,2013,"Patrick","Syracuse","drawing","pads",10.26,2,20.52
"9756",2013-03-14,2013,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"2346",2013-03-15,2013,"Mohit","Davenport","drawing","pads",10.26,3,30.78
"6683",2013-03-15,2013,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"407",2013-03-16,2013,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"775",2013-03-16,2013,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"855",2013-03-16,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"882",2013-03-16,2013,"Yue","Dublin","watercolor","pad",12.15,2,24.3
"4388",2013-03-16,2013,"Thomas","Davenport","watercolor","pad",12.15,1,12.15
"4769",2013-03-16,2013,"Aman","Portland","watercolor","pad",12.15,1,12.15
"5867",2013-03-16,2013,"Patrick","Syracuse","watercolor","sheet",0.77,11,8.47
"7632",2013-03-16,2013,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"8063",2013-03-16,2013,"Ruisi","Dublin","watercolor","block",19.34,2,38.68
"9357",2013-03-16,2013,"Ruisi","Dublin","drawing","journal",24.94,1,24.94
"1004",2013-03-17,2013,"Yue","Dublin","watercolor","block",19.34,1,19.34
"1252",2013-03-17,2013,"Ran","Dublin","watercolor","sheet",0.77,9,6.93
"1410",2013-03-17,2013,"Arijit","Syracuse","watercolor","pad",12.15,2,24.3
"2591",2013-03-17,2013,"Thomas","Davenport","drawing","roll",20.99,1,20.99
"2783",2013-03-17,2013,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"2812",2013-03-17,2013,"Thomas","Davenport","watercolor","sheet",0.77,6,4.62
"4149",2013-03-17,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"5208",2013-03-17,2013,"Mohit","Davenport","drawing","journal",24.94,1,24.94
"8320",2013-03-17,2013,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"8672",2013-03-17,2013,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"3309",2013-03-18,2013,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"3551",2013-03-18,2013,"Aman","Portland","watercolor","roll",97.99,1,97.99
"4642",2013-03-18,2013,"Thomas","Davenport","drawing","roll",20.99,1,20.99
"5271",2013-03-18,2013,"Yunzhu","Syracuse","drawing","pads",10.26,2,20.52
"1098",2013-03-19,2013,"Arijit","Syracuse","drawing","journal",24.94,2,49.88
"1398",2013-03-19,2013,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"3592",2013-03-19,2013,"Aman","Portland","watercolor","block",19.34,1,19.34
"4735",2013-03-19,2013,"Ran","Dublin","drawing","journal",24.94,1,24.94
"9017",2013-03-19,2013,"Ran","Dublin","watercolor","sheet",0.77,5,3.85
"9918",2013-03-19,2013,"Ran","Dublin","watercolor","block",19.34,1,19.34
"2688",2013-03-20,2013,"Mohit","Davenport","watercolor","sheet",0.77,4,3.08
"2933",2013-03-20,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"4269",2013-03-20,2013,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"4286",2013-03-20,2013,"Mohit","Davenport","watercolor","block",19.34,1,19.34
"5649",2013-03-20,2013,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
